stratum,n,n_pos,backbone_only_mean,backbone+rppg_mean,backbone+blink_mean,full_fusion_mean,backbone_only_std,backbone+rppg_std,backbone+blink_std,full_fusion_std,delta_fusion_minus_bb
ALL,1758,1542,0.7493436854493922,0.7485306480280539,0.745501573233415,0.7452869049334677,0.00956555909682721,0.009738081495580845,0.00886449775086539,0.00919764311287719,-0.004056780515924507
rppg_avail,1758,1542,0.7493436854493922,0.7485306480280539,0.745501573233415,0.7452869049334677,0.00956555909682721,0.009738081495580845,0.00886449775086539,0.00919764311287719,-0.004056780515924507
blink_avail,1758,1542,0.7493436854493922,0.7485306480280539,0.745501573233415,0.7452869049334677,0.00956555909682721,0.009738081495580845,0.00886449775086539,0.00919764311287719,-0.004056780515924507
both_avail,1758,1542,0.7493436854493922,0.7485306480280539,0.745501573233415,0.7452869049334677,0.00956555909682721,0.009738081495580845,0.00886449775086539,0.00919764311287719,-0.004056780515924507
rppg_snr_high,440,393,0.774522224026853,0.7726598451626874,0.7732878566401385,0.7723674949921499,0.010956973870177994,0.011595047752587514,0.011012753378999618,0.012498272024357762,-0.002154729034703151
rppg_snr_low,440,370,0.7683552123552123,0.769034749034749,0.7647027027027027,0.7664787644787646,0.011306631897561346,0.00889326736243658,0.010565593150418752,0.00905195042697437,-0.0018764478764476955
