seed,regime,variant,split,n,auc,ap,eer,tpr_at_fpr01,tpr_at_fpr05,tpr_at_fpr10
0,ff_only,backbone_only,ff_test,600,0.78652,0.9517004431935205,0.30000000000000004,0.422,0.484,0.51
0,ff_only,backbone_only,celebdf_test,1306,0.7874024810716949,0.9585546836298366,0.27703632533165196,0.1762621789193977,0.32683790965456155,0.4862710363153233
0,ff_only,backbone_only,dfdc_test,77,0.6239669421487604,0.8168913908292065,0.4545454545454546,0.2,0.2,0.23636363636363636
0,ff_only,backbone+rppg,ff_test,600,0.7817,0.9504326194058247,0.30000000000000004,0.376,0.468,0.504
0,ff_only,backbone+rppg,celebdf_test,1306,0.7735058774076353,0.9554825788777603,0.2943682975284363,0.18157661647475642,0.2940655447298494,0.48804251550044286
0,ff_only,backbone+rppg,dfdc_test,77,0.6107438016528925,0.8102423454455591,0.4545454545454546,0.16363636363636364,0.21818181818181817,0.23636363636363636
0,ff_only,backbone+blink,ff_test,600,0.79378,0.9528034805287785,0.29000000000000004,0.398,0.478,0.54
0,ff_only,backbone+blink,celebdf_test,1306,0.7785600976815641,0.9564336545134923,0.29392542773215635,0.15411868910540302,0.32683790965456155,0.5057573073516386
0,ff_only,backbone+blink,dfdc_test,77,0.6471074380165289,0.8221314946620517,0.44545454545454544,0.16363636363636364,0.16363636363636364,0.2545454545454545
0,ff_only,full_fusion,ff_test,600,0.78886,0.9516125958819345,0.29200000000000004,0.358,0.48,0.534
0,ff_only,full_fusion,celebdf_test,1306,0.7636926833906311,0.9531154623014283,0.3053324525979193,0.16386182462356066,0.2940655447298494,0.48095659875996455
0,ff_only,full_fusion,dfdc_test,77,0.6429752066115703,0.8134294091316636,0.40454545454545454,0.10909090909090909,0.14545454545454545,0.2
0,mixed,backbone_only,ff_test,600,0.77078,0.9465635227345545,0.31000000000000005,0.308,0.416,0.494
0,mixed,backbone_only,celebdf_test,1306,0.9757047134357189,0.9958504946087454,0.08488838179880198,0.7236492471213464,0.816651904340124,0.9406554472984943
0,mixed,backbone_only,dfdc_test,77,0.8289256198347107,0.9333530549113703,0.2318181818181818,0.5454545454545454,0.6,0.6
0,mixed,backbone+rppg,ff_test,600,0.76988,0.9460294348857037,0.30000000000000004,0.314,0.392,0.464
0,mixed,backbone+rppg,celebdf_test,1306,0.9738331506808184,0.9954870128802036,0.0844455120025221,0.6829052258635961,0.7927369353410098,0.933569530558016
0,mixed,backbone+rppg,dfdc_test,77,0.815702479338843,0.9260611941948145,0.2727272727272727,0.4909090909090909,0.509090909090909,0.6
0,mixed,backbone+blink,ff_test,600,0.77552,0.9475207879387195,0.30000000000000004,0.3,0.442,0.484
0,mixed,backbone+blink,celebdf_test,1306,0.9759098847537694,0.9959130227623219,0.08488838179880198,0.7325066430469442,0.8060230292294066,0.9406554472984943
0,mixed,backbone+blink,dfdc_test,77,0.8421487603305785,0.9371428976244229,0.2318181818181818,0.4727272727272727,0.6,0.6181818181818182
0,mixed,full_fusion,ff_test,600,0.77418,0.9468060030997818,0.30000000000000004,0.308,0.4,0.47
0,mixed,full_fusion,celebdf_test,1306,0.9741033763192265,0.995552585394019,0.08029204385662028,0.6793622674933569,0.7936226749335695,0.9309123117803366
0,mixed,full_fusion,dfdc_test,77,0.8314049586776859,0.9302111713573769,0.2318181818181818,0.43636363636363634,0.509090909090909,0.6
1,ff_only,backbone_only,ff_test,600,0.78602,0.9505910813756593,0.29000000000000004,0.394,0.442,0.464
1,ff_only,backbone_only,celebdf_test,1306,0.7714091266207284,0.954217972238794,0.3062181921904791,0.16386182462356066,0.28520814880425155,0.4632418069087688
1,ff_only,backbone_only,dfdc_test,77,0.6198347107438017,0.8097200578171846,0.4136363636363637,0.14545454545454545,0.2,0.21818181818181817
1,ff_only,backbone+rppg,ff_test,600,0.78672,0.9505551886934165,0.28200000000000003,0.388,0.436,0.466
1,ff_only,backbone+rppg,celebdf_test,1306,0.7699829357513523,0.9538709303582187,0.3108145301326608,0.17183348095659876,0.28520814880425155,0.44729849424269263
1,ff_only,backbone+rppg,dfdc_test,77,0.6074380165289256,0.8002003694476878,0.4136363636363637,0.14545454545454545,0.14545454545454545,0.18181818181818182
1,ff_only,backbone+blink,ff_test,600,0.79508,0.9523384726684526,0.281,0.41,0.432,0.468
1,ff_only,backbone+blink,celebdf_test,1306,0.7612006025030901,0.951569025550752,0.3108145301326608,0.13817537643932684,0.26217891939769705,0.46944198405668736
