config,variant,n_test,val_source,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
test_celebdf,backbone_only,1758,FF++ (identity-aware),0.7493436854493922,0.00956555909682721,0.32213575443147435,0.009578571437650838,0.1463035019455253,0.008683719191320625,0.2377431906614786,0.016320008112414422,0.35979247730220487,0.03259488789465441
test_celebdf,backbone+rppg,1758,FF++ (identity-aware),0.7485306480280539,0.009738081495580845,0.32501621271076525,0.00759361154796016,0.14850843060959792,0.012970168612191958,0.2378728923476005,0.026657562022263808,0.351621271076524,0.03055706763395566
test_celebdf,backbone+blink,1758,FF++ (identity-aware),0.745501573233415,0.00886449775086539,0.32672034875342276,0.010917190990125631,0.13476005188067447,0.007314071169842634,0.23463035019455253,0.016656696336968077,0.35551232166018154,0.0331037987251998
test_celebdf,full_fusion,1758,FF++ (identity-aware),0.7452869049334677,0.00919764311287719,0.3280263726761781,0.006030479608455226,0.1356679636835279,0.007678734171525649,0.23177691309987028,0.025800531167790398,0.343579766536965,0.027227315795806565
test_dfdc,backbone_only,77,FF++ (identity-aware),0.6633057851239669,0.007655230530188062,0.3572727272727273,0.019708621262435267,0.05454545454545454,0.01818181818181818,0.12,0.009958591954639379,0.13454545454545452,0.027574092523823826
test_dfdc,backbone+rppg,77,FF++ (identity-aware),0.6623140495867769,0.009232555400838983,0.3618181818181818,0.02921139820556295,0.047272727272727265,0.016262312563634834,0.07636363636363636,0.02370619056437327,0.1418181818181818,0.023706190564373272
test_dfdc,backbone+blink,77,FF++ (identity-aware),0.6745454545454546,0.007046635949518101,0.3454545454545455,0.021076405671581137,0.06909090909090909,0.015212000482437739,0.12363636363636363,0.008131156281817414,0.13090909090909092,0.015212000482437737
test_dfdc,full_fusion,77,FF++ (identity-aware),0.6720661157024794,0.00922885571910325,0.36363636363636365,0.028927095593995117,0.06909090909090909,0.015212000482437739,0.10545454545454547,0.023706190564373265,0.13090909090909092,0.015212000482437737
test_ff,backbone_only,600,CelebDF (subject-aware),0.661664,0.009469397024098212,0.3886,0.012601587201618702,0.10999999999999999,0.03972404813208241,0.22039999999999998,0.03723976369420193,0.2952,0.01841738309315413
test_ff,backbone+rppg,600,CelebDF (subject-aware),0.663824,0.009276490715782565,0.38119999999999993,0.003898717737923589,0.11080000000000001,0.05579605720837271,0.21759999999999996,0.04895712409854158,0.3032,0.03913055072446593
test_ff,backbone+blink,600,CelebDF (subject-aware),0.6628160000000001,0.010731303741857295,0.38759999999999994,0.01201249349635621,0.10999999999999999,0.04125530268947254,0.21719999999999998,0.035905431344018135,0.30200000000000005,0.020976176963403034
test_ff,full_fusion,600,CelebDF (subject-aware),0.664212,0.009398623303441848,0.382,0.00777817459305203,0.1092,0.05367681063550628,0.21919999999999998,0.04548846007505641,0.30280000000000007,0.037884033576165044
