variant,perturbation,n,auc_mean,auc_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std,ece_raw_mean,ece_raw_std,ece_platt_mean,ece_platt_std,delta_ece
full_fusion,blur_s3,600,0.705096,0.002139,0.099200,0.013971,0.254800,0.019318,0.382400,0.017573,0.088672,0.003327,0.071829,0.008593,-0.016843
full_fusion,clean,600,0.774036,0.002040,0.304800,0.004147,0.413600,0.018623,0.485600,0.011524,0.060038,0.010596,0.042541,0.006103,-0.017498
full_fusion,downscale_2x,600,0.766196,0.001146,0.282400,0.029441,0.373200,0.012377,0.462800,0.011454,0.045351,0.004915,0.048459,0.007501,0.003108
full_fusion,downscale_4x,600,0.733300,0.001224,0.201600,0.011437,0.308400,0.014311,0.430000,0.024819,0.065584,0.006284,0.058068,0.010385,-0.007516
full_fusion,jpeg_q10,600,0.703956,0.001535,0.133600,0.029813,0.245600,0.005177,0.329600,0.012198,0.185370,0.028835,0.148146,0.025694,-0.037224
full_fusion,jpeg_q30,600,0.741388,0.001803,0.220400,0.005899,0.352800,0.016346,0.428800,0.013755,0.190368,0.013062,0.161501,0.008642,-0.028867
full_fusion,jpeg_q50,600,0.754412,0.001642,0.266000,0.023707,0.383200,0.013387,0.454800,0.023942,0.166898,0.015500,0.141482,0.010200,-0.025416
full_fusion,noise_s10,600,0.762432,0.001551,0.294800,0.020474,0.377600,0.015258,0.476400,0.008050,0.063834,0.008284,0.054996,0.004910,-0.008838
full_fusion,noise_s20,600,0.744716,0.000866,0.218000,0.015427,0.352000,0.015748,0.432800,0.008075,0.071086,0.007608,0.053361,0.010087,-0.017725
full_fusion,noise_s5,600,0.762312,0.001927,0.314400,0.014588,0.401600,0.018243,0.465200,0.015401,0.061258,0.007386,0.049691,0.006891,-0.011566
