seed,variant,method,n,auc,ap,eer,tpr1,tpr5,tpr10
0,backbone_only,ALL,2209,0.7290030544289219,0.856844633455536,0.328164839016574,0.05396825396825397,0.20952380952380953,0.36952380952380953
0,backbone_only,sadtalker_cdf,836,0.695112437094382,0.8819576039845854,0.3715696612741442,0.027314112291350532,0.15022761760242792,0.30045523520485584
0,backbone_only,sadtalker_ff,278,0.5781573498964804,0.574389099400556,0.43524844720496897,0.021739130434782608,0.07971014492753623,0.15217391304347827
0,backbone_only,simswap_cdf,815,0.7742061172803428,0.9110724048837496,0.2994040345004693,0.048589341692789965,0.20219435736677116,0.4012539184952978
0,backbone_only,simswap_ff,280,0.6121938775510204,0.6046253601127773,0.4,0.03571428571428571,0.08571428571428572,0.18571428571428572
0,backbone+rppg,ALL,2209,0.7311681938811276,0.8586797700548674,0.3267412748485303,0.054603174603174605,0.20317460317460317,0.3682539682539683
0,backbone+rppg,sadtalker_cdf,836,0.6974357655410097,0.8820155777094592,0.3562665569301201,0.03945371775417299,0.13505311077389984,0.29893778452200304
0,backbone+rppg,sadtalker_ff,278,0.5771221532091098,0.5750970991482084,0.43524844720496897,0.021739130434782608,0.07971014492753623,0.15217391304347827
0,backbone+rppg,simswap_cdf,815,0.7722490834705914,0.9101308713152547,0.3061473885553372,0.061128526645768025,0.1974921630094044,0.3981191222570533
0,backbone+rppg,simswap_ff,280,0.610204081632653,0.6029030124304486,0.40714285714285714,0.03571428571428571,0.07857142857142857,0.18571428571428572
0,backbone+blink,ALL,2209,0.7284242151119122,0.8565643275658956,0.328164839016574,0.05396825396825397,0.21015873015873016,0.36952380952380953
0,backbone+blink,sadtalker_cdf,836,0.694435156846103,0.88169667701611,0.3672273518342293,0.027314112291350532,0.1441578148710167,0.30652503793626706
0,backbone+blink,sadtalker_ff,278,0.577639751552795,0.5734596786109838,0.42805383022774324,0.021739130434782608,0.07971014492753623,0.15217391304347827
0,backbone+blink,simswap_cdf,815,0.773958167295397,0.9110168376542458,0.2994040345004693,0.047021943573667714,0.20219435736677116,0.40752351097178685
0,backbone+blink,simswap_ff,280,0.6120918367346939,0.6044081068420804,0.4,0.03571428571428571,0.08571428571428572,0.18571428571428572
0,full_fusion,ALL,2209,0.7307716188473287,0.8583436124288176,0.3250002503630264,0.054603174603174605,0.20253968253968255,0.36952380952380953
0,full_fusion,sadtalker_cdf,836,0.6968956559759265,0.8816154577154989,0.3562665569301201,0.036418816388467376,0.13201820940819423,0.29893778452200304
0,full_fusion,sadtalker_ff,278,0.5772256728778468,0.5712117690014156,0.43524844720496897,0.021739130434782608,0.08695652173913043,0.14492753623188406
0,full_fusion,simswap_cdf,815,0.7724261906026956,0.910165040225363,0.3061473885553372,0.061128526645768025,0.19435736677115986,0.4012539184952978
0,full_fusion,simswap_ff,280,0.6108163265306122,0.6028152581240424,0.40714285714285714,0.03571428571428571,0.07857142857142857,0.18571428571428572
1,backbone_only,ALL,2209,0.6980601872715437,0.8429102709661895,0.3482584747884433,0.050793650793650794,0.18158730158730158,0.2819047619047619
1,backbone_only,sadtalker_cdf,836,0.6756256269128881,0.8814272919996946,0.3840479068611061,0.057663125948406675,0.20030349013657056,0.27617602427921095
1,backbone_only,sadtalker_ff,278,0.5787784679089026,0.5750300829128816,0.4424430641821946,0.007246376811594203,0.10144927536231885,0.16666666666666666
1,backbone_only,simswap_cdf,815,0.7291589182296371,0.8905825874232745,0.3395542213484937,0.04231974921630094,0.17398119122257052,0.2664576802507837
1,backbone_only,simswap_ff,280,0.5801020408163265,0.5796457279240417,0.4214285714285714,0.014285714285714285,0.08571428571428572,0.17857142857142858
1,backbone+rppg,ALL,2209,0.7092283811526714,0.8497498781444484,0.3373411446597567,0.06222222222222222,0.2088888888888889,0.3028571428571429
1,backbone+rppg,sadtalker_cdf,836,0.6854847697675814,0.8857183539627524,0.373087111956997,0.06676783004552352,0.20333839150227617,0.2928679817905918
1,backbone+rppg,sadtalker_ff,278,0.5877846790890269,0.5757917451298671,0.42085921325051756,0.007246376811594203,0.10144927536231885,0.14492753623188406
1,backbone+rppg,simswap_cdf,815,0.7374298212989037,0.8948024146886211,0.33359456635318707,0.0438871473354232,0.17398119122257052,0.28213166144200624
1,backbone+rppg,simswap_ff,280,0.5821428571428572,0.583372682594154,0.4214285714285714,0.014285714285714285,0.09285714285714286,0.16428571428571428
1,backbone+blink,ALL,2209,0.6973311301387011,0.8423327638634032,0.3517405237594512,0.049523809523809526,0.18349206349206348,0.2787301587301587
1,backbone+blink,sadtalker_cdf,836,0.6750083588385073,0.8810113323134025,0.3840479068611061,0.057663125948406675,0.20182094081942337,0.28072837632776937
1,backbone+blink,sadtalker_ff,278,0.577536231884058,0.5727720203503172,0.4424430641821946,0.007246376811594203,0.10144927536231885,0.16666666666666666
