--metric epoch
Found 5 value(s):

Step | Timestamp | Value
--------------------------------------------------
1 | 2026-03-21T18:00:23.983664 | 1
2 | 2026-03-21T18:58:41.102435 | 2
3 | 2026-03-21T20:02:30.410800 | 3
4 | 2026-03-21T21:05:33.852397 | 4
--metric lr
Found 5 value(s):

Step | Timestamp | Value
--------------------------------------------------
1 | 2026-03-21T18:00:23.983664 | 5.201346637304824e-05
2 | 2026-03-21T18:58:41.102435 | 9.999999981377618e-05
3 | 2026-03-21T20:02:30.410800 | 9.854606376953795e-05
4 | 2026-03-21T21:05:33.852397 | 9.427081858004923e-05
5 | 2026-03-21T22:08:13.494592 | 8.742272595583916e-05
--metric step/loss_blink
Found 732 value(s):

Step | Timestamp | Value
--------------------------------------------------
20 | 2026-03-21T17:01:59.135877 | 0.0
40 | 2026-03-21T17:02:21.500307 | 0.45843419432640076
60 | 2026-03-21T17:02:45.010103 | 0.5106747150421143
80 | 2026-03-21T17:03:08.532886 | 1.0695011615753174
100 | 2026-03-21T17:03:32.678823 | 1.1719295978546143
120 | 2026-03-21T17:03:58.667818 | 0.0
140 | 2026-03-21T17:04:19.365774 | 0.0
160 | 2026-03-21T17:04:42.674664 | 0.0
180 | 2026-03-21T17:05:05.631691 | 0.0
200 | 2026-03-21T17:05:26.738125 | 0.0
220 | 2026-03-21T17:05:47.931831 | 0.0
240 | 2026-03-21T17:06:10.956810 | 0.23870901763439178
260 | 2026-03-21T17:06:34.866265 | 0.0
280 | 2026-03-21T17:07:03.626218 | 0.36614876985549927
300 | 2026-03-21T17:07:28.830534 | 0.5788841247558594
320 | 2026-03-21T17:07:48.520756 | 0.0
340 | 2026-03-21T17:08:16.011640 | 0.0
360 | 2026-03-21T17:08:36.756202 | 0.18004249036312103
380 | 2026-03-21T17:09:00.736402 | 0.0
400 | 2026-03-21T17:09:21.758734 | 0.24997572600841522
420 | 2026-03-21T17:09:46.903243 | 0.19600823521614075
440 | 2026-03-21T17:10:07.375543 | 0.0
460 | 2026-03-21T17:10:30.322899 | 0.7368133068084717
480 | 2026-03-21T17:10:51.155494 | 0.6476826071739197
500 | 2026-03-21T17:11:15.131409 | 0.3398418128490448
520 | 2026-03-21T17:11:36.865915 | 0.4436204433441162
540 | 2026-03-21T17:11:58.711665 | 0.0
560 | 2026-03-21T17:12:20.221102 | 0.0
580 | 2026-03-21T17:12:41.166149 | 0.21759282052516937
600 | 2026-03-21T17:13:06.149699 | 0.0
620 | 2026-03-21T17:13:25.158932 | 0.4387362003326416
640 | 2026-03-21T17:13:49.664893 | 0.15416818857192993
660 | 2026-03-21T17:14:11.494731 | 0.15443167090415955
680 | 2026-03-21T17:14:34.617266 | 0.0
700 | 2026-03-21T17:14:58.274265 | 0.0
720 | 2026-03-21T17:15:21.965994 | 0.5387924909591675
740 | 2026-03-21T17:15:41.219690 | 0.0
760 | 2026-03-21T17:16:00.866747 | 0.0
780 | 2026-03-21T17:16:26.115324 | 0.0
800 | 2026-03-21T17:16:45.602801 | 0.6848312616348267
820 | 2026-03-21T17:17:13.117519 | 0.0
840 | 2026-03-21T17:17:33.663592 | 0.0
860 | 2026-03-21T17:18:03.033498 | 0.0
880 | 2026-03-21T17:18:24.559690 | 0.0
900 | 2026-03-21T17:18:45.786703 | 0.0
920 | 2026-03-21T17:19:14.431865 | 0.0
940 | 2026-03-21T17:19:32.525179 | 0.17681968212127686
960 | 2026-03-21T17:19:56.365726 | 0.1760164052248001
980 | 2026-03-21T17:20:19.828096 | 0.0
1000 | 2026-03-21T17:20:39.990710 | 0.558809220790863
1020 | 2026-03-21T17:21:03.056106 | 0.39449968934059143
1040 | 2026-03-21T17:21:25.883815 | 0.0
1060 | 2026-03-21T17:21:47.262052 | 0.30501481890678406
1080 | 2026-03-21T17:22:08.249103 | 0.0
1100 | 2026-03-21T17:22:34.956313 | 0.44013917446136475
1120 | 2026-03-21T17:22:56.206326 | 0.0
1140 | 2026-03-21T17:23:15.765924 | 0.0
1160 | 2026-03-21T17:23:33.932016 | 0.12808868288993835
1180 | 2026-03-21T17:24:01.677972 | 0.16244512796401978
1200 | 2026-03-21T17:24:22.664397 | 0.23333919048309326
1220 | 2026-03-21T17:24:42.517569 | 0.17791323363780975
1240 | 2026-03-21T17:25:05.527448 | 0.0
1260 | 2026-03-21T17:25:23.579477 | 0.0
1280 | 2026-03-21T17:25:51.987468 | 0.15482968091964722
1300 | 2026-03-21T17:26:13.511284 | 0.4860612750053406
1320 | 2026-03-21T17:26:37.750587 | 0.0
1340 | 2026-03-21T17:26:55.109082 | 0.33549073338508606
1360 | 2026-03-21T17:27:16.606528 | 0.2670605182647705
1380 | 2026-03-21T17:27:42.141719 | 0.3912242352962494
1400 | 2026-03-21T17:28:07.773889 | 0.0
1420 | 2026-03-21T17:28:31.177643 | 0.0
1440 | 2026-03-21T17:28:55.617379 | 0.0
1460 | 2026-03-21T17:29:20.236077 | 0.0
1480 | 2026-03-21T17:29:42.679190 | 0.20050384104251862
1500 | 2026-03-21T17:30:07.001471 | 0.0
1520 | 2026-03-21T17:30:25.787228 | 0.0
1540 | 2026-03-21T17:30:46.498072 | 0.0
1560 | 2026-03-21T17:31:10.559548 | 0.36009150743484497
1580 | 2026-03-21T17:31:34.355067 | 0.0
1600 | 2026-03-21T17:31:54.900688 | 0.0
1620 | 2026-03-21T17:32:18.440599 | 0.657625138759613
1640 | 2026-03-21T17:32:40.942906 | 0.563177764415741
1660 | 2026-03-21T17:33:03.947904 | 0.0
1680 | 2026-03-21T17:33:23.318218 | 0.0
1700 | 2026-03-21T17:33:48.913387 | 0.31340670585632324
1720 | 2026-03-21T17:34:12.499752 | 0.0
1740 | 2026-03-21T17:34:34.456139 | 0.5965648293495178
1760 | 2026-03-21T17:34:58.680592 | 1.3565452098846436
1780 | 2026-03-21T17:35:19.108663 | 0.0
1800 | 2026-03-21T17:35:41.743831 | 0.7547333240509033
1820 | 2026-03-21T17:36:02.910638 | 0.0
1840 | 2026-03-21T17:36:25.626443 | 0.8106119632720947
1860 | 2026-03-21T17:36:45.183193 | 0.0
1880 | 2026-03-21T17:37:10.491589 | 0.16519412398338318
1900 | 2026-03-21T17:37:31.372002 | 0.22612959146499634
1920 | 2026-03-21T17:37:53.780235 | 0.5821252465248108
1940 | 2026-03-21T17:38:14.589516 | 0.0
1960 | 2026-03-21T17:38:39.121366 | 0.7574299573898315
1980 | 2026-03-21T17:38:59.455209 | 0.0
2000 | 2026-03-21T17:39:24.434804 | 1.2661857604980469
2020 | 2026-03-21T17:39:47.842631 | 0.0
2040 | 2026-03-21T17:40:07.299824 | 0.0
2060 | 2026-03-21T17:40:27.476916 | 0.0
2080 | 2026-03-21T17:40:48.234139 | 0.2963268458843231
2100 | 2026-03-21T17:41:10.603439 | 0.0
2120 | 2026-03-21T17:41:31.977233 | 0.4379286766052246
2140 | 2026-03-21T17:41:54.478899 | 0.0
2160 | 2026-03-21T17:42:12.149628 | 0.0
2180 | 2026-03-21T17:42:30.292230 | 0.4034631848335266
2180 | 2026-03-21T17:42:32.160043 | 0.4034631848335266
2200 | 2026-03-21T17:42:48.780819 | 0.11187279224395752
2220 | 2026-03-21T17:43:12.640019 | 1.1256407499313354
2240 | 2026-03-21T17:43:33.856739 | 0.0
2260 | 2026-03-21T17:43:55.123559 | 0.26149672269821167
2280 | 2026-03-21T17:44:17.767819 | 0.1283557265996933
2300 | 2026-03-21T17:44:42.369968 | 0.0
