seed,variant,split,n,auc,ece_raw,ece_platt,platt_a,platt_b
0,backbone_only,ff_test,600,0.77078,0.06068095232049624,0.04891708756486575,4.631678104400635,-1.9940283298492432
0,backbone_only,celebdf_test,1306,0.9757047134357189,0.04395441451947138,0.08846970046278528,4.631678104400635,-1.9940283298492432
0,backbone_only,dfdc_test,77,0.8289256198347107,0.14153108232981199,0.1199992647418728,4.631678104400635,-1.9940283298492432
0,backbone+rppg,ff_test,600,0.76988,0.05408013467987379,0.04409034167726836,4.687049388885498,-2.0411596298217773
0,backbone+rppg,celebdf_test,1306,0.9738331506808184,0.04580811433391403,0.08962717583862234,4.687049388885498,-2.0411596298217773
0,backbone+rppg,dfdc_test,77,0.815702479338843,0.11116717581625107,0.11972686919299039,4.687049388885498,-2.0411596298217773
0,backbone+blink,ff_test,600,0.77552,0.057440041974186895,0.04225340875486533,4.738384246826172,-2.0748627185821533
0,backbone+blink,celebdf_test,1306,0.9759098847537694,0.045996783523724785,0.08602746443717438,4.738384246826172,-2.0748627185821533
0,backbone+blink,dfdc_test,77,0.8421487603305785,0.12164854732426729,0.11942078656964486,4.738384246826172,-2.0748627185821533
0,full_fusion,ff_test,600,0.77418,0.0570343138029178,0.03842228971421719,4.76993465423584,-2.102545976638794
0,full_fusion,celebdf_test,1306,0.9741033763192265,0.04357560691787401,0.08867359775222643,4.76993465423584,-2.102545976638794
0,full_fusion,dfdc_test,77,0.8314049586776859,0.10904738113477633,0.11921175772493536,4.76993465423584,-2.102545976638794
1,backbone_only,ff_test,600,0.76588,0.05354495753844579,0.050865097492933276,4.633212089538574,-1.9480397701263428
1,backbone_only,celebdf_test,1306,0.9720666756741879,0.04680589299540607,0.09116654735840116,4.633212089538574,-1.9480397701263428
1,backbone_only,dfdc_test,77,0.8297520661157025,0.14655812645887398,0.12486745320357284,4.633212089538574,-1.9480397701263428
1,backbone+rppg,ff_test,600,0.76796,0.050511364837487534,0.034824170768260956,4.653386116027832,-1.9725788831710815
