variant,method,n,auc,auc_ci_lo,auc_ci_hi,tpr1_ci_lo,tpr1_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
backbone_only,ALL,2209,0.743214,0.722536,0.762437,0.214603,0.366984,0.365714,0.472397,0.465397,0.541587
backbone+rppg,ALL,2209,0.744660,0.723825,0.763574,0.208238,0.363825,0.369524,0.481270,0.468571,0.539683
backbone+blink,ALL,2209,0.742543,0.721904,0.761893,0.219651,0.369524,0.368841,0.473651,0.463492,0.540317
full_fusion,ALL,2209,0.743893,0.722901,0.762999,0.211397,0.361921,0.372698,0.480635,0.469190,0.535889
