config,train,test,seed,variant,n_train,n_test,auc,ap,eer,tpr1,tpr5,tpr10
test_dfdc,ff+celebdf,dfdc,1337,full_fusion,11929,77,0.6115702479338843,0.8144218331172385,0.36363636363636365,0.09090909090909091,0.2,0.21818181818181817
test_dfdc,ff+celebdf,dfdc,2024,backbone_only,11929,77,0.6016528925619835,0.8190873283491675,0.4136363636363637,0.2,0.23636363636363636,0.2545454545454545
test_dfdc,ff+celebdf,dfdc,2024,backbone+rppg,11929,77,0.6132231404958678,0.8022328027942249,0.4136363636363637,0.03636363636363636,0.12727272727272726,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,2024,backbone+blink,11929,77,0.5909090909090909,0.8141603418441776,0.4545454545454546,0.18181818181818182,0.23636363636363636,0.2545454545454545
test_dfdc,ff+celebdf,dfdc,2024,full_fusion,11929,77,0.6165289256198347,0.8017706529233231,0.4136363636363637,0.03636363636363636,0.12727272727272726,0.2
test_ff,celebdf+dfdc,ff,0,backbone_only,6910,600,0.6517,0.8768238394728807,0.37,0.01,0.058,0.11
test_ff,celebdf+dfdc,ff,0,backbone+rppg,6910,600,0.67568,0.8939831464645003,0.378,0.004,0.102,0.308
test_ff,celebdf+dfdc,ff,0,backbone+blink,6910,600,0.64414,0.8751704102324256,0.379,0.01,0.05,0.12
test_ff,celebdf+dfdc,ff,0,full_fusion,6910,600,0.67,0.894995056613646,0.382,0.006,0.112,0.228
test_ff,celebdf+dfdc,ff,1,backbone_only,6910,600,0.68798,0.8970774904541519,0.36,0.006,0.102,0.21
test_ff,celebdf+dfdc,ff,1,backbone+rppg,6910,600,0.67746,0.8958870771301995,0.372,0.01,0.12,0.202
test_ff,celebdf+dfdc,ff,1,backbone+blink,6910,600,0.68272,0.8997842124572187,0.36,0.01,0.114,0.266
test_ff,celebdf+dfdc,ff,1,full_fusion,6910,600,0.67382,0.8958334941542696,0.378,0.01,0.138,0.208
test_ff,celebdf+dfdc,ff,42,backbone_only,6910,600,0.6568,0.8796592565508274,0.37,0.008,0.058,0.144
test_ff,celebdf+dfdc,ff,42,backbone+rppg,6910,600,0.66982,0.8997631555185255,0.39,0.026,0.15,0.284
test_ff,celebdf+dfdc,ff,42,backbone+blink,6910,600,0.65434,0.8799321357720853,0.352,0.008,0.064,0.152
test_ff,celebdf+dfdc,ff,42,full_fusion,6910,600,0.664,0.8992435673301025,0.4,0.03,0.14,0.292
test_ff,celebdf+dfdc,ff,1337,backbone_only,6910,600,0.64406,0.8736242241762783,0.37,0.008,0.06,0.112
test_ff,celebdf+dfdc,ff,1337,backbone+rppg,6910,600,0.66516,0.8934481561386522,0.39,0.016,0.176,0.248
test_ff,celebdf+dfdc,ff,1337,backbone+blink,6910,600,0.6394,0.8734082562810188,0.379,0.008,0.056,0.118
test_ff,celebdf+dfdc,ff,1337,full_fusion,6910,600,0.65464,0.8916046177945971,0.38,0.016,0.154,0.264
test_ff,celebdf+dfdc,ff,2024,backbone_only,6910,600,0.66778,0.8850410828366863,0.36,0.004,0.072,0.17
test_ff,celebdf+dfdc,ff,2024,backbone+rppg,6910,600,0.67008,0.8948933310233511,0.382,0.022,0.124,0.314
test_ff,celebdf+dfdc,ff,2024,backbone+blink,6910,600,0.66058,0.8846058784357894,0.37,0.004,0.086,0.198
test_ff,celebdf+dfdc,ff,2024,full_fusion,6910,600,0.66602,0.8955187946048431,0.4,0.016,0.166,0.28
