config,train,test,seed,variant,n_train,n_test,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,0,backbone_only,10552,1758,0.9436848489215545,0.9912467857140519,0.12049646923187779,0.585603112840467,0.728923476005188,0.8125810635538262
test_celebdf,ff+dfdc,celebdf,0,backbone+rppg,10552,1758,0.9432855358601143,0.9911494569052717,0.1250810635538262,0.5726329442282749,0.7133592736705577,0.817769130998703
test_celebdf,ff+dfdc,celebdf,0,backbone+blink,10552,1758,0.9438920113368882,0.9912991358846603,0.1247568093385214,0.5830090791180286,0.7412451361867705,0.8326848249027238
test_celebdf,ff+dfdc,celebdf,0,full_fusion,10552,1758,0.9440301196137773,0.9912836045666638,0.1250810635538262,0.5479896238651103,0.7120622568093385,0.8300907911802854
test_celebdf,ff+dfdc,celebdf,1,backbone_only,10552,1758,0.9401600855070376,0.9906195872664874,0.1296656578757746,0.5667963683527886,0.6984435797665369,0.8203631647211413
test_celebdf,ff+dfdc,celebdf,1,backbone+rppg,10552,1758,0.9431189052216938,0.9910278576181059,0.12049646923187779,0.5862516212710766,0.6977950713359273,0.8359273670557718
test_celebdf,ff+dfdc,celebdf,1,backbone+blink,10552,1758,0.9401690925685737,0.9906488770764452,0.1296656578757746,0.5382619974059663,0.7075226977950714,0.8067444876783398
test_celebdf,ff+dfdc,celebdf,1,full_fusion,10552,1758,0.9434266464908488,0.9911156151690096,0.1195237065859634,0.5687418936446174,0.6984435797665369,0.8482490272373541
test_celebdf,ff+dfdc,celebdf,42,backbone_only,10552,1758,0.94017809963011,0.9905989746750476,0.1296656578757746,0.5220492866407264,0.7224383916990921,0.7983138780804151
test_celebdf,ff+dfdc,celebdf,42,backbone+rppg,10552,1758,0.9431414228755344,0.9910353707988477,0.1257295719844358,0.5479896238651103,0.7237354085603113,0.8203631647211413
test_celebdf,ff+dfdc,celebdf,42,backbone+blink,10552,1758,0.9405413844454052,0.9906919788399403,0.1296656578757746,0.5278858625162127,0.7217898832684825,0.8035019455252919
test_celebdf,ff+dfdc,celebdf,42,full_fusion,10552,1758,0.9434957006292933,0.991131142673874,0.1260538261997406,0.5311284046692607,0.7191958495460441,0.8223086900129701
test_celebdf,ff+dfdc,celebdf,1337,backbone_only,10552,1758,0.9400459960609118,0.9906284451296175,0.1250810635538262,0.5389105058365758,0.7198443579766537,0.8106355382619974
test_celebdf,ff+dfdc,celebdf,1337,backbone+rppg,10552,1758,0.9396827112456165,0.9904978373845803,0.1296656578757746,0.5201037613488976,0.708171206225681,0.8281452658884566
test_celebdf,ff+dfdc,celebdf,1337,backbone+blink,10552,1758,0.94032221261469,0.9906935104234715,0.1260538261997406,0.5505836575875487,0.7224383916990921,0.8197146562905318
test_celebdf,ff+dfdc,celebdf,1337,full_fusion,10552,1758,0.9403552385069894,0.9906439796022828,0.1296656578757746,0.5181582360570688,0.7166018158236057,0.8249027237354085
test_celebdf,ff+dfdc,celebdf,2024,backbone_only,10552,1758,0.9403072008454628,0.9906756655287238,0.13425025219772302,0.5479896238651103,0.7302204928664072,0.8067444876783398
test_celebdf,ff+dfdc,celebdf,2024,backbone+rppg,10552,1758,0.9438169524907527,0.9911804785923161,0.12146923187779218,0.5317769130998703,0.7302204928664072,0.8294422827496758
test_celebdf,ff+dfdc,celebdf,2024,backbone+blink,10552,1758,0.9407095162607484,0.9907744707654501,0.13425025219772302,0.5421530479896238,0.7211413748378729,0.8190661478599222
test_celebdf,ff+dfdc,celebdf,2024,full_fusion,10552,1758,0.9443843973675361,0.9913180718389575,0.1296656578757746,0.5311284046692607,0.7302204928664072,0.85473411154345
test_dfdc,ff+celebdf,dfdc,0,backbone_only,11929,77,0.656198347107438,0.7982739693154808,0.36363636363636365,0.03636363636363636,0.10909090909090909,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,0,backbone+rppg,11929,77,0.6487603305785123,0.7899821649691797,0.40454545454545454,0.03636363636363636,0.05454545454545454,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,0,backbone+blink,11929,77,0.6727272727272727,0.8057958872571636,0.32272727272727275,0.05454545454545454,0.10909090909090909,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,0,full_fusion,11929,77,0.6619834710743802,0.7991877757748242,0.40454545454545454,0.05454545454545454,0.07272727272727272,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,1,backbone_only,11929,77,0.6628099173553719,0.8079213178493144,0.36363636363636365,0.07272727272727272,0.10909090909090909,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1,backbone+rppg,11929,77,0.6586776859504132,0.8051213379012272,0.36363636363636365,0.07272727272727272,0.07272727272727272,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,1,backbone+blink,11929,77,0.6694214876033058,0.8137758138668219,0.32272727272727275,0.09090909090909091,0.12727272727272726,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,1,full_fusion,11929,77,0.6710743801652893,0.8105728689818621,0.32272727272727275,0.07272727272727272,0.10909090909090909,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,42,backbone_only,11929,77,0.6586776859504132,0.8018816478036316,0.36363636363636365,0.03636363636363636,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,42,backbone+rppg,11929,77,0.6652892561983471,0.7963619618750455,0.35454545454545455,0.03636363636363636,0.05454545454545454,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,42,backbone+blink,11929,77,0.6735537190082644,0.8089958863626373,0.36363636363636365,0.05454545454545454,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,42,full_fusion,11929,77,0.675206611570248,0.808988489430476,0.36363636363636365,0.05454545454545454,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,backbone_only,11929,77,0.6628099173553719,0.8072299063214676,0.32272727272727275,0.07272727272727272,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,backbone+rppg,11929,77,0.6652892561983471,0.8055651373691982,0.32272727272727275,0.05454545454545454,0.09090909090909091,0.16363636363636364
