config,variant,n_test,val_source,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
test_celebdf,backbone_only,1758,FF++ (identity-aware),0.5660625930729692,0.0010274957850506252,0.46221177403084013,0.003608632864986039,0.017250324254215306,0.002365056099716014,0.08962386511024643,0.005236479698621624,0.14539559014267184,0.002170324323045597
test_celebdf,backbone+rppg,1758,FF++ (identity-aware),0.5828592616611423,0.0022505782406516675,0.4379827784983427,0.004971370080488868,0.014137483787289235,0.001247430873000736,0.05940337224383917,0.008016361681121888,0.16523994811932555,0.012005290640077389
test_celebdf,backbone+blink,1758,FF++ (identity-aware),0.5666648652543594,0.0015133101652260378,0.4565157083153192,0.004157138973742392,0.017639429312581063,0.0016786224520810363,0.08988326848249029,0.00302791635017607,0.14798962386511025,0.004431737889304772
test_celebdf,full_fusion,1758,FF++ (identity-aware),0.5825308041504539,0.002401075495028635,0.4389645482057934,0.0073121492406434925,0.013359273670557717,0.0015618151204659268,0.05654993514915694,0.006210124316406804,0.16199740596627757,0.014561866558276897
test_dfdc,backbone_only,77,FF++ (identity-aware),0.6014876033057852,0.010797703312779888,0.42181818181818187,0.018295101634089185,0.18909090909090906,0.041857688848077584,0.24,0.01991718390927876,0.3090909090909091,0.04453617714151235
test_dfdc,backbone+rppg,77,FF++ (identity-aware),0.6231404958677687,0.01289626986308038,0.3918181818181818,0.04121100711506597,0.061818181818181814,0.02439346884545225,0.17818181818181816,0.034973425566675174,0.2290909090909091,0.016262312563634827
test_dfdc,backbone+blink,77,FF++ (identity-aware),0.5975206611570247,0.014230723436134355,0.45272727272727276,0.004065578140908735,0.19636363636363635,0.047062469474708296,0.2581818181818182,0.015212000482437732,0.29818181818181816,0.033028912953790825
test_dfdc,full_fusion,77,FF++ (identity-aware),0.6297520661157024,0.015735068400545275,0.38181818181818183,0.029282042560738946,0.06909090909090909,0.029875775863918153,0.1745454545454545,0.030424000964875485,0.24,0.060848001929750956
test_ff,backbone_only,600,CelebDF (subject-aware),0.6373479999999999,0.00699585019851054,0.38780000000000003,0.0038987177379235893,0.0064,0.0008944271909999159,0.0896,0.03491131621695177,0.2004,0.018022208521710097
test_ff,backbone+rppg,600,CelebDF (subject-aware),0.6225799999999999,0.008993586603797182,0.4062,0.013682105101189668,0.008,0.0034641016151377548,0.1072,0.030711561340967343,0.2144,0.008049844718999251
test_ff,backbone+blink,600,CelebDF (subject-aware),0.6297400000000001,0.005847512291564703,0.39,0.0014142135623730963,0.0072,0.0010954451150103322,0.064,0.02244994432064365,0.18239999999999998,0.0249158584038359
test_ff,full_fusion,600,CelebDF (subject-aware),0.6213040000000001,0.00770835131529435,0.4062,0.008786353054595526,0.008799999999999999,0.005215361924162118,0.0888,0.03384080377296024,0.1992,0.007563068160475614
