variant,split,n,auc_mean,auc_std,eer_mean,eer_std,tpr5_mean,tpr5_std
backbone+blink,ff_c23_test,600,0.774672,0.002232,0.306800,0.008319,0.422400,0.015900
backbone+blink,ff_c40_test,600,0.732540,0.001808,0.343800,0.008585,0.332400,0.016273
backbone+rppg,ff_c23_test,600,0.769896,0.002332,0.312000,0.008367,0.412000,0.015427
backbone+rppg,ff_c40_test,600,0.734792,0.001116,0.338000,0.008367,0.313600,0.021881
backbone_only,ff_c23_test,600,0.768876,0.002949,0.316000,0.005050,0.414400,0.008989
backbone_only,ff_c40_test,600,0.733688,0.001620,0.338200,0.012518,0.314000,0.020050
full_fusion,ff_c23_test,600,0.774036,0.002040,0.298200,0.004025,0.413600,0.018623
full_fusion,ff_c40_test,600,0.732852,0.001398,0.344000,0.011203,0.328000,0.025690
