variant,feat_dim,val_auc,test_auc,test_eer,test_ap,test_ece,auc_Deepfakes,auc_Face2Face,auc_FaceShifter,auc_FaceSwap,auc_NeuralTextures
1_backbone_only,1792,0.7825600000000001,0.7273799999999999,0.33999999999999997,0.9195247822472501,0.09749500586340823,0.7827,0.7248999999999999,0.7491,0.6853,0.6949
2_backbone+rppg,1804,0.7762,0.7262400000000001,0.34099999999999997,0.9212204540752341,0.10754122298831742,0.7805,0.7225999999999999,0.7481,0.6875,0.6925
3_backbone+blink,1808,0.78314,0.7261799999999999,0.33699999999999997,0.9191272999996201,0.09568067637582622,0.7816,0.7231000000000001,0.7476,0.6845999999999999,0.694
4_backbone+rppg+blink,1820,0.78,0.72959,0.31399999999999995,0.9211641092577046,0.11015844384829206,0.7881499999999999,0.7242,0.7513000000000001,0.6896,0.6946999999999999
5_rppg_only,12,0.5094599999999999,0.50942,0.488,0.8398375103487172,0.1583058635393778,0.5089,0.5039,0.5223,0.5082,0.5038
6_blink_only,16,0.55388,0.59938,0.43399999999999994,0.8807671139428568,0.41523485299199814,0.6579999999999999,0.5324,0.5997,0.6228,0.584
7_fakecatcher_svm,12,0.0,0.48714,0.504,0.8281881357664731,0.016336951700423482,0.5065,0.45459999999999995,0.5070999999999999,0.4775,0.49
