seed,regime,variant,cdf_split,n,auc,ap,eer,tpr5
0,ff_only,backbone_only,by_clip,1306,0.5605880910560318,0.8856204164799633,0.45096655707515776,0.06111603188662533
0,ff_only,backbone+rppg,by_clip,1306,0.5969684686713406,0.8996351006377952,0.4235561694014502,0.07528786536758193
0,ff_only,backbone+blink,by_clip,1306,0.5668708371490194,0.8887620553672124,0.4476988285218157,0.07263064658990256
0,ff_only,full_fusion,by_clip,1306,0.5935656272987945,0.8978282186844226,0.4235561694014502,0.07174490699734277
0,ff_only,backbone_only,by_subject,1758,0.5619115386462987,0.8996799341011468,0.4675835855310564,0.07392996108949416
0,ff_only,backbone+rppg,by_subject,1758,0.5805201277801797,0.9015844374772197,0.4443363597060095,0.06420233463035019
0,ff_only,backbone+blink,by_subject,1758,0.5649994595763078,0.8996027263431239,0.4443363597060095,0.08625162127107652
0,ff_only,full_fusion,by_subject,1758,0.5786556660421771,0.9012568897569904,0.4443363597060095,0.057068741893644616
0,mixed,backbone_only,by_clip,1306,0.610990176797626,0.9022471120514302,0.4235561694014502,0.11071744906997343
0,mixed,backbone+rppg,by_clip,1306,0.633689130423904,0.9117833897040235,0.4011849894662043,0.09565987599645705
0,mixed,backbone+blink,by_clip,1306,0.6168250489158448,0.9043992938181524,0.41807409186670874,0.12400354295837024
0,mixed,full_fusion,by_clip,1306,0.6329234911150811,0.9113701385462066,0.3961457817277427,0.09300265721877768
0,mixed,backbone_only,by_subject,1758,0.6059951001585243,0.9155405460732364,0.44007601959936593,0.13488975356679636
0,mixed,backbone+rppg,by_subject,1758,0.6160049478791373,0.9126149043287823,0.42141338809626744,0.07911802853437094
0,mixed,backbone+blink,by_subject,1758,0.6085380938655907,0.9155014926821277,0.4296098140942499,0.11932555123216602
0,mixed,full_fusion,by_subject,1758,0.6158803501945526,0.9127078722357354,0.4256737282029111,0.07652399481193256
1,ff_only,backbone_only,by_clip,1306,0.5578483033332833,0.8852819145160864,0.4527380362602773,0.05934455270150576
1,ff_only,backbone+rppg,by_clip,1306,0.609689090390476,0.9057833914801356,0.4248847787902899,0.0983170947741364
1,ff_only,backbone+blink,by_clip,1306,0.5623945994905746,0.8876755562206355,0.4468130889292559,0.06643046944198405
1,ff_only,full_fusion,by_clip,1306,0.6088934260107189,0.9055945510702945,0.4239990391977301,0.10186005314437556
1,ff_only,backbone_only,by_subject,1758,0.556723471201422,0.8988217020476057,0.4679078397463612,0.07782101167315175
1,ff_only,backbone+rppg,by_subject,1758,0.5812391915261566,0.9014077849747864,0.4443363597060095,0.06874189364461739
1,ff_only,backbone+blink,by_subject,1758,0.5597798674160542,0.8996039893787133,0.45873865110246437,0.08625162127107652
1,ff_only,full_fusion,by_subject,1758,0.5808263678724119,0.9013728779740763,0.4489209540279579,0.06874189364461739
1,mixed,backbone_only,by_clip,1306,0.6247216425715473,0.9064060436129425,0.4125920143319672,0.10628875110717449
1,mixed,backbone+rppg,by_clip,1306,0.6469602117768336,0.9150252988023704,0.37288886219993694,0.09565987599645705
1,mixed,backbone+blink,by_clip,1306,0.6081377950588741,0.9024607766041524,0.41303488412824707,0.11426040744021258
1,mixed,full_fusion,by_clip,1306,0.6457592089394645,0.9145383694072536,0.37288886219993694,0.09654561558901682
1,mixed,backbone_only,by_subject,1758,0.6060521448815872,0.9152147492628734,0.43613993370802706,0.1569390402075227
1,mixed,backbone+rppg,by_subject,1758,0.6110615722726618,0.9098521358493226,0.41650453955901423,0.0654993514915694
1,mixed,backbone+blink,by_subject,1758,0.6054066388048229,0.9141187027324519,0.4305825767401643,0.11284046692607004
1,mixed,full_fusion,by_subject,1758,0.6105556756497094,0.9096863601402663,0.41618028534370943,0.06355382619974059
42,ff_only,backbone_only,by_clip,1306,0.5599925938158362,0.886089626256028,0.44637021913297603,0.06023029229406555
42,ff_only,backbone+rppg,by_clip,1306,0.6124113634885129,0.906408707967199,0.40755280659350557,0.0912311780336581
42,ff_only,backbone+blink,by_clip,1306,0.5635956023279438,0.8876757899434586,0.44637021913297603,0.05580159433126661
42,ff_only,full_fusion,by_clip,1306,0.6121011044221926,0.9064093206876007,0.4125920143319672,0.08945969884853854
42,ff_only,backbone_only,by_subject,1758,0.5605004323389537,0.8999501611329284,0.4675835855310564,0.08625162127107652
42,ff_only,backbone+rppg,by_subject,1758,0.5881115794783109,0.902235796345244,0.4259979824182159,0.055771725032425425
42,ff_only,backbone+blink,by_subject,1758,0.5612570255079983,0.899731686560238,0.4629989912091079,0.0927367055771725
42,ff_only,full_fusion,by_subject,1758,0.5883622760244032,0.9021758857896958,0.4269707450641303,0.05317769130998703
42,mixed,backbone_only,by_clip,1306,0.6157041129343002,0.9044552223014644,0.41718835227414885,0.112488928255093
42,mixed,backbone+rppg,by_clip,1306,0.6417608703267228,0.9143462076412043,0.3952600421351829,0.11160318866253321
42,mixed,backbone+blink,by_clip,1306,0.6192470713045393,0.9057936186212074,0.4071099367972257,0.11868910540301152
42,mixed,full_fusion,by_clip,1306,0.6418734643427262,0.9144291270032607,0.3943743025426231,0.11071744906997343
42,mixed,backbone_only,by_subject,1758,0.6043047749435557,0.9153193740833294,0.4436878512753999,0.14785992217898833
42,mixed,backbone+rppg,by_subject,1758,0.6166894845558918,0.9117220205172001,0.41289270788298027,0.0622568093385214
42,mixed,backbone+blink,by_subject,1758,0.605319570543306,0.9154414833192364,0.43516717106211267,0.13229571984435798
42,mixed,full_fusion,by_subject,1758,0.616745028102032,0.9116121849021895,0.41682879377431903,0.06744487678339818
1337,ff_only,backbone_only,by_clip,1306,0.5601827525984197,0.8854103485716739,0.4476988285218157,0.06023029229406555
1337,ff_only,backbone+rppg,by_clip,1306,0.6037941681303889,0.904315943575956,0.4125920143319672,0.10628875110717449
1337,ff_only,backbone+blink,by_clip,1306,0.5637056942547026,0.887464308532186,0.44088814159823453,0.06731620903454384
1337,ff_only,full_fusion,by_clip,1306,0.6063938388554443,0.905855777004105,0.4125920143319672,0.11780336581045173
1337,ff_only,backbone_only,by_subject,1758,0.563571840322813,0.9000016436659826,0.45873865110246437,0.07846952010376135
1337,ff_only,backbone+rppg,by_subject,1758,0.5813307633184417,0.9010087384199861,0.43975176538406113,0.05188067444876784
1337,ff_only,backbone+blink,by_subject,1758,0.5620706634001057,0.9000695316637828,0.45480256521112555,0.08560311284046693
1337,ff_only,full_fusion,by_subject,1758,0.5827238555027141,0.9012428212838726,0.4440121054907047,0.054474708171206226
1337,mixed,backbone_only,by_clip,1306,0.6063663158737546,0.9014439013680479,0.41807409186670874,0.10983170947741364
1337,mixed,backbone+rppg,by_clip,1306,0.6419860583587296,0.9139461078167981,0.3829672776768602,0.10983170947741364
1337,mixed,backbone+blink,by_clip,1306,0.6105247881981455,0.9030637631943894,0.4117062747394074,0.09654561558901682
1337,mixed,full_fusion,by_clip,1306,0.6445582061020952,0.9148518181694969,0.3842958870656999,0.112488928255093
1337,mixed,backbone_only,by_subject,1758,0.6064574626507182,0.9154039002083668,0.43516717106211267,0.14656290531776914
1337,mixed,backbone+rppg,by_subject,1758,0.6098591295575732,0.9104234145387174,0.4174773022049286,0.0622568093385214
1337,mixed,backbone+blink,by_subject,1758,0.6079496325118893,0.9154312820494468,0.4220618965268771,0.12775616083009078
1337,mixed,full_fusion,by_subject,1758,0.6110840899265024,0.9104834874046237,0.4263222366335207,0.06679636835278858
2024,ff_only,backbone_only,by_clip,1306,0.5601277066350403,0.8856401507138286,0.44637021913297603,0.06023029229406555
2024,ff_only,backbone+rppg,by_clip,1306,0.6002261888677045,0.901506331235094,0.4235561694014502,0.09654561558901682
2024,ff_only,backbone+blink,by_clip,1306,0.5672036150185404,0.8890024465194553,0.44088814159823453,0.06820194862710363
2024,ff_only,full_fusion,by_clip,1306,0.6022678936912321,0.9025193484273946,0.4239990391977301,0.09654561558901682
2024,ff_only,backbone_only,by_subject,1758,0.5613621078925878,0.8996667642333855,0.4675835855310564,0.07976653696498054
2024,ff_only,backbone+rppg,by_subject,1758,0.5794542921650574,0.9012664783105748,0.44040027381467073,0.0622568093385214
2024,ff_only,backbone+blink,by_subject,1758,0.5643914829226113,0.900129996999194,0.4485966998126531,0.08625162127107652
2024,ff_only,full_fusion,by_subject,1758,0.5804360618725081,0.9013979012015574,0.44040027381467073,0.06031128404669261
2024,mixed,backbone_only,by_clip,1306,0.6150085321243238,0.9038782013827931,0.4125920143319672,0.10806023029229407
2024,mixed,backbone+rppg,by_clip,1306,0.6379902218352325,0.9126206455612285,0.394817172338903,0.10363153232949512
2024,mixed,backbone+blink,by_clip,1306,0.621298784485045,0.9059297399225315,0.4062241972046659,0.11780336581045173
2024,mixed,full_fusion,by_clip,1306,0.640677465683846,0.9140071016238938,0.3952600421351829,0.10894596988485385
2024,mixed,backbone_only,by_subject,1758,0.6011432963443339,0.9135936264991698,0.43516717106211267,0.1511024643320363
2024,mixed,backbone+rppg,by_subject,1758,0.61696570110967,0.9117115466036428,0.4178015564202334,0.08236057068741894
2024,mixed,backbone+blink,by_subject,1758,0.6027255368208676,0.9136186971715574,0.4305825767401643,0.11348897535667964
2024,mixed,full_fusion,by_subject,1758,0.6160529855406639,0.9116535018390052,0.4256737282029111,0.07911802853437094
