seed,variant,split,n,auc,ece_raw,ece_platt,platt_a,platt_b
0,backbone_only,ff_test,600,0.57744,0.059296724100907645,0.032258357803026834,3.4059932231903076,-1.1480470895767212
0,backbone_only,celebdf_test,1306,0.8423984026662263,0.07055807597421761,0.0791440108651224,3.4059932231903076,-1.1480470895767212
0,backbone_only,dfdc_test,77,0.6933884297520662,0.0899237146625271,0.10526706916945322,3.4059932231903076,-1.1480470895767212
0,backbone+rppg,ff_test,600,0.57786,0.05637858271598816,0.024084694087505343,3.462470531463623,-1.227121114730835
0,backbone+rppg,celebdf_test,1306,0.8393908913943142,0.06321077217643148,0.07613593006754725,3.462470531463623,-1.227121114730835
0,backbone+rppg,dfdc_test,77,0.7090909090909091,0.08094971597968759,0.10211413711696476,3.462470531463623,-1.227121114730835
0,backbone+blink,ff_test,600,0.5846,0.05260547349850337,0.03136027559638023,3.4716110229492188,-1.1995750665664673
0,backbone+blink,celebdf_test,1306,0.8400814680258015,0.06955263951927378,0.07882065521082506,3.4716110229492188,-1.1995750665664673
0,backbone+blink,dfdc_test,77,0.7066115702479339,0.11748866601423785,0.0977200482572828,3.4716110229492188,-1.1995750665664673
0,full_fusion,ff_test,600,0.58502,0.05583819290002187,0.019261619597673415,3.5380399227142334,-1.2851437330245972
0,full_fusion,celebdf_test,1306,0.8373742074632318,0.06265425798447537,0.0771776937963769,3.5380399227142334,-1.2851437330245972
0,full_fusion,dfdc_test,77,0.7132231404958678,0.09508965116042596,0.10398283639511503,3.5380399227142334,-1.2851437330245972
1,backbone_only,ff_test,600,0.55758,0.03558233916759491,0.017000455061594647,4.922460556030273,-2.447690725326538
1,backbone_only,celebdf_test,1306,0.7705283912066575,0.044314220889969225,0.054275877009307076,4.922460556030273,-2.447690725326538
1,backbone_only,dfdc_test,77,0.6809917355371901,0.09029726780854262,0.09588084592447653,4.922460556030273,-2.447690725326538
1,backbone+rppg,ff_test,600,0.56074,0.04094215403000513,0.018238608290751777,4.939051628112793,-2.494089126586914
1,backbone+rppg,celebdf_test,1306,0.7763082173614968,0.04574773270083423,0.058518607163684844,4.939051628112793,-2.494089126586914
1,backbone+rppg,dfdc_test,77,0.687603305785124,0.08587195192064559,0.10299677933965411,4.939051628112793,-2.494089126586914
1,backbone+blink,ff_test,600,0.56298,0.03872412890195847,0.020021101633707683,5.03630256652832,-2.5357964038848877
1,backbone+blink,celebdf_test,1306,0.7680713395685397,0.04279660849987457,0.054398713396665334,5.03630256652832,-2.5357964038848877
1,backbone+blink,dfdc_test,77,0.6900826446280992,0.10720597459124281,0.10650600086558948,5.03630256652832,-2.5357964038848877
1,full_fusion,ff_test,600,0.5649,0.038193361163139344,0.021381632685661317,4.986091613769531,-2.5340983867645264
1,full_fusion,celebdf_test,1306,0.7748369888857196,0.04421193117295802,0.05809252552836449,4.986091613769531,-2.5340983867645264
1,full_fusion,dfdc_test,77,0.6942148760330579,0.09787273445686737,0.11429403548116808,4.986091613769531,-2.5340983867645264
42,backbone_only,ff_test,600,0.5701,0.04060167382160823,0.022529718279838563,3.1878931522369385,-0.9720012545585632
42,backbone_only,celebdf_test,1306,0.8101114430549509,0.057296465198077254,0.06882195713235262,3.1878931522369385,-0.9720012545585632
42,backbone_only,dfdc_test,77,0.6694214876033058,0.1351103349165483,0.0911549554242716,3.1878931522369385,-0.9720012545585632
42,backbone+rppg,ff_test,600,0.58348,0.060361266881227504,0.024756727317969004,2.8846194744110107,-0.7092587351799011
42,backbone+rppg,celebdf_test,1306,0.8550990076714057,0.06346975791782916,0.09264561634333904,2.8846194744110107,-0.7092587351799011
42,backbone+rppg,dfdc_test,77,0.7090909090909091,0.11133861154704898,0.07564662106625446,2.8846194744110107,-0.7092587351799011
42,backbone+blink,ff_test,600,0.57952,0.041762708177169164,0.02034796118736267,3.3196892738342285,-1.0756680965423584
