backbone,variant,stratum,fpr_target,rescue_mean,rescue_ci_lo,rescue_ci_hi,regression_mean,regression_ci_lo,regression_ci_hi,net_mean,net_ci_lo,net_ci_hi
B4,full_fusion,rppg_snr_high_Q,0.0100,12.3135,2.0000,28.0000,2.8840,0.0000,7.0000,9.4295,0.0000,24.0000
B4,full_fusion,rppg_snr_high_Q,0.0500,26.7165,10.0000,50.0000,3.4175,0.0000,9.0000,23.2990,8.0000,46.0000
B4,full_fusion,rppg_snr_high_Q,0.1000,73.8535,31.0000,123.0000,5.8530,1.0000,12.0000,68.0005,28.0000,115.0000
B4,full_fusion,blink_int_high_Q,0.0100,0.4365,0.0000,4.0000,5.0640,0.0000,12.0000,-4.6275,-12.0000,1.0000
B4,full_fusion,blink_int_high_Q,0.0500,6.4205,2.0000,13.0000,22.7875,6.0000,48.0000,-16.3670,-41.0250,1.0000
B4,full_fusion,blink_int_high_Q,0.1000,15.5005,5.0000,31.0000,23.8160,6.0000,53.0000,-8.3155,-42.0000,16.0000
B4,full_fusion,blink_int_low_Q,0.0100,4.6975,0.0000,11.0000,4.4320,0.0000,12.0000,0.2655,-9.0000,8.0000
B4,full_fusion,blink_int_low_Q,0.0500,13.3235,1.0000,37.0000,21.1050,6.0000,40.0000,-7.7815,-33.0000,18.0000
B4,full_fusion,blink_int_low_Q,0.1000,30.2890,10.0000,63.0000,31.4530,10.0000,64.0000,-1.1640,-36.0000,35.0250
B4,full_fusion,real,0.0100,1.0005,0.0000,3.0000,1.0300,0.0000,3.0000,-0.0295,-3.0000,2.0000
B4,full_fusion,real,0.0500,5.4895,1.0000,11.0000,5.4595,1.0000,13.0000,0.0300,-8.0000,7.0000
B4,full_fusion,real,0.1000,10.6960,5.0000,18.0000,10.7460,3.0000,20.0000,-0.0500,-10.0000,10.0000
B4,full_fusion,fake,0.0100,13.7985,3.0000,28.0000,19.8820,3.0000,44.0000,-6.0835,-34.0000,16.0000
B4,full_fusion,fake,0.0500,38.5495,16.0000,75.0000,88.8885,34.0000,162.0250,-50.3390,-128.0000,14.0000
B4,full_fusion,fake,0.1000,119.4730,60.0000,187.0250,87.2265,39.9750,148.0000,32.2465,-51.0000,122.0000
