backbone,variant,stratum,fpr_target,rescue_mean,rescue_ci_lo,rescue_ci_hi,regression_mean,regression_ci_lo,regression_ci_hi,net_mean,net_ci_lo,net_ci_hi
CLIP,full_fusion,ALL,0.1000,29.9350,9.0000,69.0000,49.2020,15.0000,120.0250,-19.2670,-98.0000,34.0250
CLIP,full_fusion,rppg_snr_high_Q,0.0100,1.7245,0.0000,8.0250,6.3460,0.0000,19.0000,-4.6215,-18.0000,6.0000
CLIP,full_fusion,rppg_snr_high_Q,0.0500,6.7715,0.0000,30.0000,11.5870,0.0000,40.0000,-4.8155,-39.0000,28.0000
CLIP,full_fusion,rppg_snr_high_Q,0.1000,8.2715,0.0000,34.0000,19.2805,3.9750,57.0000,-11.0090,-57.0000,22.0000
CLIP,full_fusion,blink_int_high_Q,0.0100,1.0135,0.0000,4.0000,15.4960,3.0000,33.0000,-14.4825,-32.0000,-1.0000
CLIP,full_fusion,blink_int_high_Q,0.0500,0.3865,0.0000,3.0000,21.2340,5.0000,46.0000,-20.8475,-45.0000,-5.0000
CLIP,full_fusion,blink_int_high_Q,0.1000,1.6030,0.0000,5.0000,27.2455,10.0000,50.0250,-25.6425,-49.0000,-8.0000
CLIP,full_fusion,blink_int_low_Q,0.0100,3.0085,0.0000,9.0000,2.3865,0.0000,7.0000,0.6220,-6.0000,8.0000
CLIP,full_fusion,blink_int_low_Q,0.0500,10.1290,1.0000,32.0000,2.8795,0.0000,12.0000,7.2495,-8.0000,31.0000
CLIP,full_fusion,blink_int_low_Q,0.1000,13.1300,2.0000,31.0250,3.5415,0.0000,21.0000,9.5885,-15.0000,29.0250
CLIP,full_fusion,real,0.0100,0.6315,0.0000,3.0000,0.6195,0.0000,3.0000,0.0120,-2.0000,2.0000
CLIP,full_fusion,real,0.0500,0.7695,0.0000,3.0000,0.7985,0.0000,3.0000,-0.0290,-3.0000,2.0000
CLIP,full_fusion,real,0.1000,1.9865,0.0000,6.0000,1.9675,0.0000,6.0000,0.0190,-4.0000,4.0000
CLIP,full_fusion,fake,0.0100,6.7230,0.0000,18.0000,26.3995,9.0000,50.0000,-19.6765,-46.0000,3.0250
CLIP,full_fusion,fake,0.0500,23.7390,5.0000,66.0000,34.6340,7.0000,78.0250,-10.8950,-65.0000,53.0000
CLIP,full_fusion,fake,0.1000,28.6705,9.0000,64.0250,47.0085,16.0000,110.0000,-18.3380,-91.0000,38.0000
