variant,split,n,auc_mean,auc_std,eer_mean,eer_std,tpr5_mean,tpr5_std
backbone+blink,ff_c23_test,600,0.583120,0.013014,0.442200,0.008319,0.123600,0.029846
backbone+blink,ff_c40_test,600,0.540608,0.011574,0.487400,0.010714,0.096800,0.013971
backbone+rppg,ff_c23_test,600,0.580584,0.012295,0.446200,0.011498,0.101600,0.027218
backbone+rppg,ff_c40_test,600,0.541570,0.011173,0.479600,0.006804,0.089600,0.013372
backbone_only,ff_c23_test,600,0.576288,0.012969,0.450600,0.010526,0.123600,0.025589
backbone_only,ff_c40_test,600,0.540040,0.011361,0.484200,0.011100,0.099600,0.016876
full_fusion,ff_c23_test,600,0.586228,0.012519,0.444200,0.010964,0.111200,0.029210
full_fusion,ff_c40_test,600,0.541816,0.011016,0.479600,0.006804,0.088000,0.013115
