config,variant,n_test,val_source,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
test_celebdf,backbone_only,1758,FF++ (identity-aware),0.6194024114906086,0.012393099641340874,0.41368893212278424,0.007453781788294689,0.01971465629053178,0.0016277432422841943,0.05784695201037614,0.007095168299148042,0.13255512321660184,0.022023521988241777
test_celebdf,backbone+rppg,1758,FF++ (identity-aware),0.6190463323245424,0.014713966313956018,0.4157821732238075,0.012011438159799855,0.021011673151750974,0.006887635822231779,0.061608300907911806,0.005925962024155988,0.14332036316472113,0.02212545020652656
test_celebdf,backbone+blink,1758,FF++ (identity-aware),0.6093829562376903,0.013453575655058461,0.4246271076523994,0.01676938456452107,0.020233463035019456,0.003223028181527673,0.06679636835278858,0.014377301736313464,0.13476005188067447,0.026332157572128437
test_celebdf,full_fusion,1758,FF++ (identity-aware),0.6103317000528413,0.014937923282646757,0.4220709035884133,0.013768829269299657,0.01958495460440986,0.004594809230588418,0.08054474708171207,0.01418885465618998,0.1376134889753567,0.028384377616640658
test_dfdc,backbone_only,77,FF++ (identity-aware),0.5624793388429751,0.013737416704656247,0.4481818181818181,0.03756537002071703,0.14909090909090908,0.04146092454905956,0.15636363636363634,0.0437876166501538,0.1927272727272727,0.061119041141714944
test_dfdc,backbone+rppg,77,FF++ (identity-aware),0.5783471074380165,0.020187969903294814,0.4318181818181818,0.025103093220880113,0.15999999999999998,0.06479465338620168,0.17818181818181816,0.06851434065969735,0.19636363636363635,0.06851434065969736
test_dfdc,backbone+blink,77,FF++ (identity-aware),0.5780165289256198,0.012098338046390279,0.44272727272727275,0.06327821292834492,0.14909090909090908,0.023706190564373276,0.17454545454545453,0.04912456758584107,0.21090909090909093,0.07670917494446905
test_dfdc,full_fusion,77,FF++ (identity-aware),0.5958677685950413,0.02553973081051644,0.43000000000000005,0.027006274140932623,0.15999999999999998,0.05362865892273681,0.2,0.06923430096239917,0.22181818181818183,0.062191386823589344
test_ff,backbone_only,600,CelebDF (subject-aware),0.5331680000000001,0.004403239716390675,0.4661999999999999,0.011054410884348394,0.0184,0.0062289646009589745,0.06760000000000001,0.015582040944625963,0.1264,0.02363895090734781
test_ff,backbone+rppg,600,CelebDF (subject-aware),0.533136,0.003896701168937628,0.47379999999999994,0.012969194269498791,0.023600000000000003,0.010334408546211052,0.06960000000000001,0.020169283576765937,0.124,0.022226110770892867
test_ff,backbone+blink,600,CelebDF (subject-aware),0.53174,0.0037549434083618233,0.47359999999999997,0.0058991524815010556,0.019200000000000002,0.005761944116355173,0.07,0.01624807680927192,0.13,0.02177154105707724
test_ff,full_fusion,600,CelebDF (subject-aware),0.531528,0.003659797808622766,0.47739999999999994,0.017256882684888383,0.023600000000000003,0.011349008767288886,0.07400000000000001,0.016911534525287764,0.128,0.022405356502408078
