variant,method,n,auc,auc_ci_lo,auc_ci_hi,tpr1_ci_lo,tpr1_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
backbone_only,ALL,2209,0.535454,0.508993,0.559602,0.003810,0.040000,0.047619,0.077460,0.073016,0.154921
backbone+rppg,ALL,2209,0.531847,0.506986,0.555964,0.003810,0.038095,0.042540,0.093349,0.096508,0.144127
backbone+blink,ALL,2209,0.535957,0.509657,0.559777,0.003810,0.038111,0.048873,0.076190,0.071111,0.153667
full_fusion,ALL,2209,0.531573,0.506765,0.555580,0.003810,0.038095,0.042540,0.093968,0.096508,0.144778
